Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,F_Address,Postal_Code,LATITUDE,LONGITUDE
Child_Centric,Daycare_Centre,NA,St. Patrick Before and After School Program,NA,"24 Smith Avenue,Hamilton,ON",L8L 5P1,43.2574724,-79.84964372
Child_Centric,Daycare_Centre,NA,St. Paul Before and After School Program,NA,"24 Amberwood Street,Hamilton,ON",L8J 2H9,43.1989888,-79.7963461
Child_Centric,Daycare_Centre,NA,St. Teresa of Avila Before and After School Program,NA,"171 San Remo Drive,Hamilton,ON",L9C 6P8,43.2378565,-79.92630141
Child_Centric,Daycare_Centre,NA,St. Teresa of Calcutta Before and After School Program,NA,"1 Rexford Drive,Hamilton,ON",L8W 2E8,43.2081976,-79.8560119
Child_Centric,Daycare_Centre,NA,St. Therese of Lisieux Before and After School Program,NA,"1760 Garth Street,Hamilton,ON",L8L 3A6,43.2021375,-79.9154561
Child_Centric,Daycare_Centre,NA,St. Thomas - Waterdown Before and After School Program,NA,"170 Skinner Road,Hamilton,ON",L0R 2H7,43.3384614,-79.87711719
Child_Centric,Daycare_Centre,NA,St. Thomas More Children's Centre,NA,"1045 Upper Paradise Road,Hamilton,ON",L9B 2N4,43.2133753,-79.91771308
Child_Centric,Daycare_Centre,NA,St. Vincent de Paul Children's Centre,NA,"295 Greencedar Drive,Hamilton,ON",L9C 7M9,43.22279,-79.92247638
Child_Centric,Daycare_Centre,NA,Sts. Peter and Paul Before and After School Program,NA,"49 Fennell Avenue,Hamilton,ON",L9A 1R5,43.23746565,-79.87483453
Child_Centric,Daycare_Centre,NA,Heritage Green Child Care,NA,"360 Isaac Brock Drive,Hamilton,ON",L8J 2R2,43.1940337,-79.7880293
Child_Centric,Daycare_Centre,NA,Heritage Green Mount Albion,NA,"24 Kennard Street,Hamilton,ON",L8J 2E5,43.1888812,-79.79158334
Child_Centric,Daycare_Centre,NA,Heritage Green School Age Program,NA,"349 Isaac Brock Drive,Hamilton,ON",L8J 3S2,43.1930661,-79.78982378
Child_Centric,Daycare_Centre,NA,Heritage Green St.James,NA,"29 John Murray Street,Hamilton,ON",L8J 1C5,43.1911602,-79.7832835
Child_Centric,Daycare_Centre,NA,Heritage Green Tapleytown,NA,"390 Mud Street,Hamilton,ON",L8J 3C6,43.18087325,-79.73462705
Child_Centric,Daycare_Centre,NA,Hillfield Strathallan College,NA,"299 Fennell Avenue,Hamilton,ON",L9C 1G3,43.2411246,-79.8920991
Child_Centric,Daycare_Centre,NA,"Jacks' & Jills' Cooperative Preschool of Ancaster, Inc.",NA,"263 Jerseyville Road,Hamilton,ON",L9G 3K8,43.21863815,-79.9966587
Child_Centric,Daycare_Centre,NA,Jamesville Bennetto Community Care,NA,"47 Simcoe Street,Hamilton,ON",L8N 3N2,43.26806215,-79.86189106
Child_Centric,Daycare_Centre,NA,Jamesville Children's Centre,NA,"252 James Street,Hamilton,ON",L8R 2L3,43.2694572,-79.9690244
