Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,Address,Street_Name,Street_Type,Community,Province,Postal_Code,LONGITUDE,LATITUDE
Child_Centric,School,,Shannen Koostachin Elementary School,,110,Bellagio,Avenue,Glanbrook,ON,,,
Child_Centric,Daycare_Centre,,Delaware Early learning Centre,,162,Delaware,Avenue,Hamilton,ON,L8M 1V6,,
Child_Centric,Daycare_Centre,,First Class Children's Centre,,139,Rebecca,Street,Hamilton,ON,L8R 1B9,,
Child_Centric,Daycare_Centre,,Little Learning House Child Care Centre,,198,Fennell,Avenue,Hamilton,ON,L9A 1S7,,
Child_Centric,Daycare_Centre,,Little Learning House Child Care Centre - Locke Street,,86,Homewood,Avenue,Hamilton,ON,L8P 2M4,,
Child_Centric,Daycare_Centre,,Little Learning House Infant and Toddler Centre,,192,Allenby,Avenue,Hamilton,ON,L9A 2V2,,
Child_Centric,Daycare_Centre,,Birch Avenue Child Care Centre,,138,Birch,Avenue,Hamilton,ON,L8L 6H7,,
Child_Centric,Daycare_Centre,,Higher Learning Montessori Preschool,,211,Stonehenge,Drive,Ancaster,ON,L9K 1R4,,
Child_Centric,Daycare_Centre,,Little Sprouts Hamilton,,689,West 5th,Street,Hamilton,ON,L9C 3R3,,
Child_Centric,Daycare_Centre,,"Oxford Learning, Little Readers",,520,Highway # 8,,Stoney Creek,ON,L8G 1G6,,
Child_Centric,Daycare_Centre,,Cornerstone Preschool,,2247,Rymal,Road,Hamilton,ON,L8J 2V8,,
Child_Centric,Daycare_Centre,,Dundas Valley Montessori School,,14,Kemp,Drive,Dundas,ON,L9H 2M9,,
Child_Centric,Daycare_Centre,,Creative Me Preschool,,21,Mill,Street North,Waterdown,ON,L0R 2H0,,
Child_Centric,Daycare_Centre,,Tiny Hoppers Early Learning Centres Stoney Creek Paramount,,1050,Paramount,Drive,Stoney Creek,ON,L8J 1P8,,
Child_Centric,Daycare_Centre,,TINY HOPPERS EARLY LEARNING CENTRE STONEY CREEK RYMAL,,1976,Rymal,Road,Hamilton,ON,L0R 1P0,,
Child_Centric,Daycare_Centre,,Quality Foundations Childcare,,221,Dundas,Street,Waterdown,ON,L0R 2H6,,
Child_Centric,Daycare_Centre,,Spring Creek Learn & Play Childcare,,473,Dundas,Street,Waterdown,ON,L8B 1W1,,
Child_Centric,Daycare_Centre,,Austin Academy for Early Learners,,288,Barton,Street,Stoney Creek,ON,L8E 2K6,,
Child_Centric,Daycare_Centre,,Ancaster Small Fry Pre-School,,20,Gilbert,Avenue,Ancaster,ON,L9G 1R4,,
Child_Centric,Daycare_Centre,,Awesome Beginnings Co-operative Nursery School,,1496,Centre,Road,Carlisle,ON,L0R 1H2,,
Child_Centric,Daycare_Centre,,Blossoms Child Care Centre,,2605,Highway 56,,Binbrook,ON,L0R 1C0,,
Child_Centric,Daycare_Centre,,BrightPath Waterdown,,89,Hamilton,Street,Waterdown,ON,L0R 2H0,,
Child_Centric,Daycare_Centre,,St. Martin's Manor Early Learning Centre,,500,Mohawk,Road,Hamilton,ON,L9C 1X4,,
Child_Centric,Daycare_Centre,,Red Hill Family Centre,,25,Mount Albion,Road,Hamilton,ON,L8K 5S4,,
Child_Centric,Daycare_Centre,,Temple Playhouse Enrichment School,,215,Cline,Avenue,Hamilton,ON,L8S 4A1,,
Child_Centric,Daycare_Centre,,Central Day Care Centre,,101,Catharine,Street,Hamilton,ON,L8N 2J5,,
Child_Centric,Daycare_Centre,,Childventures Early Learning Academy - Ancaster,,1281,Mohawk,Road,Ancaster,ON,L9G 3K9,,
Child_Centric,Daycare_Centre,,Daycare on Delaware,,162,Delaware,Avenue,Hamilton,ON,L8M 1V6,,
Child_Centric,Daycare_Centre,,Church of St. Peter's Children's Day Care Centre,,705,Main,Street,Hamilton,ON,L8M 1K8,,
Child_Centric,Daycare_Centre,,St. Peter's Day Care Before and After School Program,,71,Maplewood,Avenue,Hamilton,ON,L8M 1W7,,
Child_Centric,Daycare_Centre,,Dundas Valley Co-operative Preschool,,1,Lynndale,Drive,Dundas,ON,L9H 3L4,,
Child_Centric,Daycare_Centre,,Dundas Valley Co-operative Preschool,,86,Cameron,Avenue,Dundas,ON,L9H 1P8,,
Child_Centric,Daycare_Centre,,Ancaster Montessori School,,265,Wilson,Street,Ancaster,ON,L9G 2B8,,
Child_Centric,Daycare_Centre,,Village Gate Montessori School,,442,Wilson,Street,Ancaster,ON,L9G 2C3,,
Child_Centric,Daycare_Centre,,Fan-Tastic Scholars Child Learning Centre,,1960,Main,Street,Hamilton,ON,L8S 4N5,,
Child_Centric,Daycare_Centre,,East End Scholars,,138,Birch,Avenue,Hamilton,ON,L8L 6H7,,
Child_Centric,Daycare_Centre,,Farmer's Dell Co-operative Preschool,,1062,Golf Club,Road,Hannon,ON,L0R 1C0,,
Child_Centric,Daycare_Centre,,Wee Watch Enriched Home Child Care - Stoney Creek,,60,King,Street West,Stoney Creek,ON,L8G 1H7,,
Child_Centric,Daycare_Centre,,Garside Day Care Centre,,47,Garside,Avenue,Hamilton,ON,L8H 7K6,,
Child_Centric,Daycare_Centre,,Graystone Children's Early Learning Academy,,1910,Rymal,Road,Hamilton,ON,L0R 1P0,,
Child_Centric,Daycare_Centre,,Boys and Girls Clubs of Hamilton -Strathcona Site,,10,Lamoreaux,Street,Hamilton,ON,L8R 1V1,,
Child_Centric,Daycare_Centre,,Boys and Girls Clubs of Hamilton- Prince of Wales,,77,Melrose,Avenue,Hamilton,ON,L8L 6X4,,
Child_Centric,Daycare_Centre,,Boys and Girls Clubs of Hamilton-Viscount Montgomery site,,1525,Lucerne,Avenue,Hamilton,ON,L8K 1R3,,
Child_Centric,Daycare_Centre,,Boys and Girls of Hamilton - Parkdale Site,,139,Parkdale,Avenue,Hamilton,ON,L8H 5X3,,
Child_Centric,Daycare_Centre,,"Early Learning and Care Centre, Hamilton East Kiwanis Boys' & Girls' Club",,45,Ellis,Avenue,Hamilton,ON,L8H 4L8,,
Child_Centric,Daycare_Centre,,Hamilton East Kiwanis Boys and Girls Club - ELCC - Queen Mary Site,,1292,Cannon,Street,Hamilton,ON,L8H 1V6,,
Child_Centric,Daycare_Centre,,Hamilton Early Learning Centre,,10,George,Street,Hamilton,ON,L8P 1C8,,
Child_Centric,Daycare_Centre,,Hamilton Hebrew Academy,,60,Dow,Avenue,Hamilton,ON,L8S 1W4,,
Child_Centric,Daycare_Centre,,End of Day Club,,407,Charlton,Avenue,Hamilton,ON,L8P 2E6,,
Child_Centric,Daycare_Centre,,Annunciation of Our Lord Before and After School Program,,250,Limeridge,Road,Hamilton,ON,L9C 2V2,,
Child_Centric,Daycare_Centre,,Blessed Sacrament Before and After School Program,,315,East 37th,Street,Hamilton,ON,L8V 4B5,,
Child_Centric,Daycare_Centre,,Canadian Martyrs Before and After School Program,,1355,Main,Street,Hamilton,ON,L8S 4M7,,
Child_Centric,Daycare_Centre,,Cathedral Children's Centre,,30,Wentworth,Street,Hamilton,ON,L8L 8H5,,
Child_Centric,Daycare_Centre,,Corpus Christi Before and After School Program,,25,Alderson,Drive,Hamilton,ON,L9B 1G3,,
Child_Centric,Daycare_Centre,,Guardian Angels Before and After School Program,,705,Centre,Road,Hamilton,ON,L8N 2Z7,,
Child_Centric,Daycare_Centre,,Holy Name of Jesus Early Learning and Care Centre,,181,Belmont,Avenue,Hamilton,ON,L8L 7M5,,
Child_Centric,Daycare_Centre,,Holy Name of Mary - Before and After School Program,,161,Meadowlands,Boulevard,Ancaster,ON,L9K 1H8,,
Child_Centric,Daycare_Centre,,Immaculate Conception Before and After School Program,,470,Kitty Murray,Lane,Hamilton,ON,L9K 1C3,,
Child_Centric,Daycare_Centre,,Immaculate Heart of Mary Early Learning and Care Centre,,190,Glover,Road,Stoney Creek,ON,L8E 0A1,,
Child_Centric,Daycare_Centre,,Our Lady of Lourdes Before and After School Program,,420,Mohawk,Road,Hamilton,ON,L8V 2H7,,
Child_Centric,Daycare_Centre,,Our Lady of Mount Carmel Children's Centre,,1624,Centre,Road,Carlisle,ON,L0R 1H0,,
Child_Centric,Daycare_Centre,,Our Lady of Peace Before and After Program,,252,Dewitt,Road,Stoney Creek,ON,L8E 2R1,,
Child_Centric,Daycare_Centre,,Our Lady of the Assumption Before and After School Program,,55,Highway #20,,Stoney Creek,ON,L8E 2R1,,
Child_Centric,Daycare_Centre,,Our Lady of the Assumption Before and After School Program,,103,Fletcher,Road,Hannon,ON,L0R 1P0,,
Child_Centric,Daycare_Centre,,Regina Mundi Before and After School Program,,675,Mohawk,Road,Hamilton,ON,L9C 1X7,,
Child_Centric,Daycare_Centre,,Sacred Heart of Jesus Before and After School Program,,5,Hamilton,Avenue,Hamilton,ON,L8V 2S3,,
Child_Centric,Daycare_Centre,,St. Ann - Ancaster Before and After School Program,,24,Fiddlers Green,Road,Ancaster,ON,L9G 1W1,,
Child_Centric,Daycare_Centre,,St. Ann Early Learning and Care Centre,,118,Sherman,Avenue,Hamilton,ON,L8L 6M6,,
Child_Centric,Daycare_Centre,,St. Ann Early Learning and Care Centre,,15,St. Ann,Street,Hamilton,ON,L8L 0B8,,
Child_Centric,Daycare_Centre,,St. Bernadette Early Learning and Care Centre,,270,Governors,Road,Dundas,ON,L9H 5E3,,
Child_Centric,Daycare_Centre,,St. Clare Before and After School Program,,185,Glenashton,Drive,Hamilton,ON,L8G 4E7,,
Child_Centric,Daycare_Centre,,St. David Early Learning and Care Centre,,33,Cromwell,Crescent,Hamilton,ON,L8G 2E9,,
